key,城市,景点名称,攻略数量,评论数量,星级,排名,简介,链接,图片
c0a644a0e685a7f94dc6b61b94747cef,厦门,曾厝垵Zeng Cuo An Village,1055,5797,88,厦门景点排名第1,厦门文创新地标，美食与文化的激情碰撞，去寻找文艺外表下充满生命力的古朴村落。,https://travel.qunar.com/p-oi5475476-cengcuoan,https://img1.qunarzz.com/travel/d4/1803/8f/ac8c01cef2a16ab5.jpg_r_480x360x95_38d2b1c4.jpg
ddcfafc3044e88726b7944ef7fb7bbc0,厦门,鼓浪屿Gulangyu Island,1451,30593,88,厦门景点排名第1,世界文化遗产，特色店铺众多，建筑漂亮，生活气息和文艺范儿并重。,https://travel.qunar.com/p-oi715901-gulangyu,https://img1.qunarzz.com/travel/d4/1806/35/cdb229270d50d4b5.jpg_r_480x360x95_5d7807c8.jpg
543d75b28ea81c939d7bf7c68dc35f44,厦门,厦门园林植物园Xiamen Botanical Garden,136,1901,92,厦门景点排名第12,环境很好的植物园，有多种稀有植物景观，也适合周末爬山休闲。,https://travel.qunar.com/p-oi708112-xiamenyuanlinzhiwuyuan,https://tr-osdcp.qunarzz.com/tr-osd-vs-dapp-ugc/img/bff7af96c2806c8387bebe789b3f8ab9.jpg_r_480x360x95_eef7dbc2.jpg
2c2d72f1613279c49b36223791553456,厦门,厦门科技馆Xiamen Science and Technology Museum,34,758,92,厦门景点排名第14,可以带孩子来这里感受新科技带来的乐趣，开拓孩子们的视野。,https://travel.qunar.com/p-oi8454966-xiamenkejiguan,https://img1.qunarzz.com/travel/d5/1706/f9/766ea422fb4eddb5.jpg_r_480x360x95_c20ad048.jpg
e91e55b178ece86c142b9549d6216347,厦门,中山路步行街Zhongshan Road Pedestrian Street,594,3372,90,厦门景点排名第3,厦门地标式商业街，欣赏连排的骑楼式建筑，搜罗地道的闽南小吃，感受鹭岛的独特魅力。,https://travel.qunar.com/p-oi3579880-zhongshanlubuxingjie,https://img1.qunarzz.com/travel/d8/1708/cb/268e1e912c47e5b5.jpg_r_480x360x95_65ef0f7f.jpg
ec8c39821d0aa59f6d0685326a853fb9,厦门,环岛路Huandao Road,658,5422,94,厦门景点排名第6,享受海边骑行的快乐，边骑边看美丽风景。,https://travel.qunar.com/p-oi702916-huandaolu,https://img1.qunarzz.com/travel/d1/1708/53/ffa48b78c12f80b5.jpg_r_480x360x95_873a8f3f.jpg
4e37b6bc4bc84f615657ccb67a6610b1,厦门,南普陀寺South Putuo Temple,730,4726,92,厦门景点排名第5,全国闻名的佛教寺院，寺内的素斋和素饼都获过奖，还可登高望远。,https://travel.qunar.com/p-oi709410-nanputuosi,https://img1.qunarzz.com/travel/d9/1610/3c/f05df7d69c7780b5.jpg_r_480x360x95_d9969b56.jpg
6fe460ec87976a4784c88a8fc8df5dde,厦门,椰风寨Yefeng Village,90,265,88,厦门景点排名第18,很长的免费沙滩，游客不多，可以远眺金门岛。,https://travel.qunar.com/p-oi3234233-yefengzhai,https://img1.qunarzz.com/travel/d5/1511/bb/fb4c79f769c86ff7.jpg_r_480x360x95_bddd3dc8.jpg
a7248401a04b2d91dc45c0dbd6f59843,厦门,厦门大学Xiamen University,1147,12429,92,厦门景点排名第2,依山傍海，中西结合的独特建筑风格，被誉为中国最美的大学之一。,https://travel.qunar.com/p-oi710971-xiamendaxue,https://img1.qunarzz.com/travel/d4/1611/e3/dbb7ec9a43d6c5b5.jpg_r_480x360x95_19665586.jpg
b9875e5254cb97fef3d83a972788b4f6,厦门,白城沙滩Baicheng Beach,356,859,92,厦门景点排名第10,靠近厦大的免费沙滩，漫步、海边玩耍，这是天然的休闲公园。,https://travel.qunar.com/p-oi5851545-baichengshatan,https://img1.qunarzz.com/travel/d5/1806/71/c0f4895cd06854b5.jpg_r_480x360x95_3c0c1bb0.jpg
16b4a4ea4185c96b3f9a8e4ead533b2c,厦门,集美学村Jimeixue Village,175,924,94,厦门景点排名第16,风格中西合璧的大学城，可以在校园里感受浓重的学术氛围。,https://travel.qunar.com/p-oi714847-jimeixuecun,https://img1.qunarzz.com/travel/d5/1509/bf/e2ca9996457fec.jpg_r_480x360x95_9a26c0db.jpg
c57bc2f92498f4f29f4dda0ca53c42a1,厦门,菽庄花园Xinzhuang Garden,294,2251,92,厦门景点排名第7,看闽南风格融合西洋色彩的园林景观。这里也有很好的观海点。,https://travel.qunar.com/p-oi714584-shuzhuanghuayuan,https://img1.qunarzz.com/travel/d7/1701/a6/e5e50b2ea36af8b5.jpg_r_480x360x95_6cd42fc3.jpg
eaead007fd971f9be73209be99b1a373,厦门,琴园Qinyuan Garden,43,284,86,厦门景点排名第31,鼓浪屿核心景点之一，百鸟园就在这个景区内。,https://travel.qunar.com/p-oi707915-qinyuan,https://img1.qunarzz.com/travel/d3/1702/b8/89df9764ac3f7b5.jpg_r_480x360x95_05544719.jpg
461ee9c6e7f32d0c37a4761e6514c0de,厦门,钟鼓索道Zhonggu Cableway,41,540,92,厦门景点排名第42,在高空中俯瞰厦门全景，在天然氧吧中任性遨游。,https://travel.qunar.com/p-oi712526-zhonggusuodao,https://img1.qunarzz.com/travel/d3/1704/70/8d7ec930cf2f5cb5.jpg_r_480x360x95_74912510.jpg
d284304fb95fcf614e8516f930ed2c1b,厦门,嘉庚公园Jiageng Park,23,418,92,厦门景点排名第82,陈嘉庚建筑群的重要组成部分，了解陈嘉庚先生的生平。,https://travel.qunar.com/p-oi709283-jiagenggongyuan,https://mp-commentcp.qunarzz.com/mp_comment_mp_comment/1560021766822100715000000xvexo1E9B_D_640_10000.jpg_r_480x360x95_21f9ec30.jpg
41357aa489bac4aaf7841c899862d2a6,厦门,下潭尾红树林湿地生态公园,0,0,90,,,https://travel.qunar.com/p-oi38337563-xiatanweihongshulinshi,https://img1.qunarzz.com/travel/poi/201408/06/7dc8cc10cb6b007cc8d65eac.gif_r_480x360x95_08d929d7.gif
7694531bf966db5527a5d55a30a8b178,厦门,厦门美术馆Xiamen Art Gallery,0,20,92,厦门景点排名第166,,https://travel.qunar.com/p-oi10074644-xiamenmeishuguan,https://img1.qunarzz.com/travel/poi/1712/ae/bb2b21f1fda1b137.jpg_r_480x360x95_9a9b5cd9.jpg
8a989860125df64822d7edad8ae3c5c6,厦门,鼓浪屿月光岩Moonlight Rock,10,13,80,厦门景点排名第39,,https://travel.qunar.com/p-oi8595775-gulangyuyueguangyan,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/ed58e531e9910a09f77f168381ff2aca.jpg_r_480x360x95_88d0565b.jpg
aec679a333328608eebe01063e575c4d,厦门,沙坡尾避风坞Shapowei Wind Shelter,108,286,86,厦门景点排名第7,,https://travel.qunar.com/p-oi7560095-shapoweibifengwu,https://img1.qunarzz.com/travel/d7/1708/bd/c84a184d1631a0b5.jpg_r_480x360x95_ba3f0f05.jpg
b890f0050bbe45c5b7a06ca23f56a52f,厦门,海湾公园Bay Park,37,303,94,厦门景点排名第36,可在公园内远眺大海，吹海风，附近的酒吧街更是泡吧族们的最爱。,https://travel.qunar.com/p-oi7476165-haiwangongyuan,https://img1.qunarzz.com/travel/d4/1605/10/c7873c803bdd6bf7.jpg_r_480x360x95_fd1708ec.jpg
c0193a035820babdca3f920a49cc4bdb,厦门,铁路文化公园Railway Culture Park,150,486,90,厦门景点排名第20,由铁路轨道改建的免费公园，适合散步。,https://travel.qunar.com/p-oi5851757-tieluwenhuagongyuan,https://img1.qunarzz.com/travel/d9/1704/57/60128f910ce63fb5.jpg_r_480x360x95_de1c8d42.jpg
0b1746fffd4f97cabe539f880b473b16,厦门,白鹭洲公园Bailuzhou Park,59,501,92,厦门景点排名第34,草坪修建得很漂亮，有个很大的湖，环境很好的免费公园！,https://travel.qunar.com/p-oi709114-bailuzhougongyuan,https://img1.qunarzz.com/travel/d7/1702/1b/eb1a95c0e833fb5.jpg_r_480x360x95_ae71778f.jpg
19877950005d2a17771f53e65cadc630,厦门,五缘湾湿地公园Wuyuanwan Wetland Park,37,300,94,厦门景点排名第31,漫步木栈道，看水鸟在氤氲雾气中起落飞翔，享受城市绿肺的清新空气。,https://travel.qunar.com/p-oi7560094-wuyuanwanshidigongyuan,https://img1.qunarzz.com/travel/d2/1508/23/afd256d05c9a8c.jpg_r_480x360x95_e1aa098f.jpg
a5356215f23f43ddf9284972e157d0ce,厦门,胡里山炮台Hulishan Fort,255,2495,92,厦门景点排名第11,这里有着大大小小的炮台，带你走近并了解那段历史。,https://travel.qunar.com/p-oi715428-hulishanpaotai,https://img1.qunarzz.com/travel/d4/1606/fe/7cdbdb6de7d5f79a.jpg_r_480x360x95_00af2ca5.jpg
f1ca76742a8bdead2d94fb1cab81de36,厦门,灵玲马戏城Lingling International Circus City,1,410,94,厦门景点排名第19,精彩绝伦的马戏艺术文化展演与独具特色的建筑文化的完美碰撞。,https://travel.qunar.com/p-oi7471105-linglingmaxicheng,https://img1.qunarzz.com/travel/poi/1409/02/a7e4a41297c889acffffffffc8d65eac.jpg_r_480x360x95_6ff2196d.jpg
511e88bcb93e6e52d1fedf18dcfbf3bc,厦门,珍珠湾Pearl Bay,49,232,96,厦门景点排名第86,沙细水清，还有轻风拂面，来到海边千万不要错过这个沙滩浴场。,https://travel.qunar.com/p-oi7476186-zhenzhuwan,https://img1.qunarzz.com/travel/poi/1706/a8/c18ebca4694d5c37.jpg_r_480x360x95_1857b49a.jpg
cc33949116792f26a173abd3ec383b43,厦门,台湾民俗村Xiamen Taiwan Folk Village,26,325,80,厦门景点排名第24,,https://travel.qunar.com/p-oi7481959-taiwanminsucun,https://img1.qunarzz.com/travel/poi/1706/5a/82dd1079f1d73237.jpg_r_480x360x95_ddac1ce0.jpg
945614f025c4e0a418fac5cbe6bb4d32,厦门,翠丰温泉,2,19,84,厦门景点排名第46,景色优美的同安汀溪水库风景区，幽雅舒适的环境，天然纯净的温泉，汇粹了闽南地域文化。,https://travel.qunar.com/p-oi7477050-cuifengwenquan,https://img1.qunarzz.com/travel/d8/1511/ef/18df62aab412acf7.jpg_r_480x360x95_b2b625bb.jpg
8749f56b695e4a1a7ae310a7e9c666ac,厦门,中山公园Zhongshan Park,54,308,92,厦门景点排名第27,,https://travel.qunar.com/p-oi703189-zhongshangongyuan,https://img1.qunarzz.com/travel/d2/1502/f1/1849c6a6a0a766.jpg_r_480x360x95_d953ae0a.jpg
1367f150074f247df31d651308856e75,厦门,海上明珠观光塔Sea Pearl Tourist Tower,2,90,90,厦门景点排名第17,,https://travel.qunar.com/p-oi7647142-haishangmingzhuguanguang,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/77f0daa6-7ecc-4132-bf0a-de9a4cacdb45.jpg_480x360_b215d047.jpg_480x360_ab6d17ca.jpg
3dc243abdf6480a74b667edc7438f9bf,厦门,大嶝岛Dadeng Island,14,140,62,厦门景点排名第30,,https://travel.qunar.com/p-oi712176-dadengdao,https://img1.qunarzz.com/travel/d2/1504/4e/ce4b624a27b729.jpg_r_480x360x95_567849de.jpg
b3c7f0e31261eea95ffab31fd2353dcd,厦门,怪坡Strange Slope,11,60,88,厦门景点排名第21,,https://travel.qunar.com/p-oi5808383-guaipo,https://img1.qunarzz.com/travel/d0/1504/89/c0a8e01c62c2cb.jpg_r_480x360x95_bd90da63.jpg
42e87e58de54d8cb539678f52682049d,厦门,日光岩Sunlight Rock,420,3938,92,厦门景点排名第3,鼓浪屿的最佳观景点，从上而下俯视鼓浪屿全岛及厦门市区景象。,https://travel.qunar.com/p-oi706045-riguangyan,https://img1.qunarzz.com/travel/d5/201404/22/e5121055bcc29047ddb12cfb.jpg_r_480x360x95_1a7c1604.jpg
be5347393b09563f6b295648bc3f8b35,厦门,海天堂构Sea paradise,45,441,94,厦门景点排名第10,看中西合并的建筑风格，随意遐想当时人们的生活。,https://travel.qunar.com/p-oi5475486-haitiantanggou,https://img1.qunarzz.com/travel/d5/1611/69/df047e52984c80b5.jpg_r_480x360x95_09b3b726.jpg
9d5554ecbb7f5a159b436619a217fc52,厦门,厦门海底世界Xiamen Underwater World,32,1003,80,厦门景点排名第2,有迄今为止中国发现最大的抹香鲸骨架。,https://travel.qunar.com/p-oi710600-xiamenhaidishijie,https://img1.qunarzz.com/travel/d8/1704/89/61b1b387f03d73b5.jpg_r_480x360x95_d88540e9.jpg
8427d8b7469294302d46ac25cf5af55a,厦门,钢琴博物馆Piano museum,158,826,92,厦门景点排名第5,在音乐之岛鼓浪屿逛钢琴博物馆，看各种造型奇特的的古钢琴。,https://travel.qunar.com/p-oi705299-gangqinbowuguan,https://img1.qunarzz.com/travel/d1/1606/2b/e14ab8d11f92389a.jpg_r_480x360x95_9f0062de.jpg
